rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,dinner_fail,late,runs,holes
1876,134.328,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1501-02-00 UIC2151-14-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,금,0,0,0,1,5,2+1+1
1877,134.328,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-03-00 UIC2151-14-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,금,0,0,0,1,5,2+1+1
1878,134.235,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 YCF1603-04-00,STA2102-05-00 STP2004-01-00,ME FREE,18.0,월금,0,0,0,2,6,3+1
1879,134.235,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1806-01-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,0,1,6,1+1
1880,134.235,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1806-01-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,0,1,6,1+1
1881,134.235,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1805-01-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,0,1,6,1+1
1882,134.235,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1805-01-00,QRM2004-01-00 BIZ1101-09-00,ME FREE,18.0,월금,1,1,0,1,6,1+1
1883,134.227,WCiv,-,QRM1001-01-00 UIC1551-01-00 UIC2151-12-00 YCF1603-04-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,0,0,2,6+6,2
1884,134.185,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 YCF1301-07-00,STA2102-05-00 STA1002-04-00,ME FREE,18.0,월금,2,0,0,1,,3+1+1+1
1885,134.128,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 YCF1451-03-00,STA2102-05-00 YCH1605-01-00,ME FREE,18.0,금,0,0,0,1,,2+2+1+1
1886,134.12,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-04-00 UIC2151-10-00 YCF1451-04-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,금,0,0,0,2,4,2+4+1+1
1887,134.12,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-04-00 UIC2151-04-00 YCF1451-04-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,금,0,0,0,2,4,2+4+1+1
1888,134.11,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,QRM2004-01-00 UCD1101-01-00,ME FREE,18.0,월금,1,0,0,2,6,1+1+3
1889,134.11,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,QRM2004-01-00 YCJ1305-01-00,ME FREE,18.0,월금,1,0,0,2,6,1+1+3
1890,134.11,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,QRM2004-01-00 YCI1901-01-00,ME FREE,18.0,월금,1,0,0,2,6,1+3+1
1891,134.11,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-05-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,월금,1,1,0,1,6,1+1+1
1892,134.093,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-01-00 UIC2151-13-00 UIC1805-01-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,월금,1,1,0,2,4+5,2+1
1893,134.093,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-01-00 UIC2151-13-00 UIC1806-01-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,월금,1,1,0,2,4+5,2+1
1894,134.093,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-01-00 UIC2151-13-00 UIC1806-01-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,월금,1,1,0,2,4+5,2+1
1895,134.093,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-01-00 UIC2151-13-00 UIC1805-01-00,STA2102-05-00 YCE1253-01-00,ME FREE,18.0,월금,1,1,0,2,4+5,2+1
1896,134.087,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-01-00 UIC2151-13-00 YCF1351-04-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월,0,0,0,2,6,3+1
1897,134.01,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1806-01-00,STA2102-05-00 UCD1101-01-00,ME FREE,18.0,월금,1,1,0,2,5,1+3+1
1898,134.01,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1805-01-00,STA2102-05-00 UCD1101-01-00,ME FREE,18.0,월금,1,1,0,2,5,1+3+1
1899,134.01,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1805-01-00,STA2102-05-00 UCD1101-01-00,ME FREE,18.0,월금,1,1,0,2,5,1+3+1
1900,134.01,LHP,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC2151-14-00 UIC1806-01-00,STA2102-05-00 UCD1101-01-00,ME FREE,18.0,월금,1,1,0,2,5,1+3+1
1901,134.01,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1805-01-00,STA2102-05-00 YCI1901-01-00,ME FREE,18.0,월금,1,1,0,2,5,1+3+1
1902,134.01,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1805-01-00,STA2102-05-00 YCI1901-01-00,ME FREE,18.0,월금,1,1,0,2,5,1+3+1
1903,134.01,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1806-01-00,STA2102-05-00 YCI1901-01-00,ME FREE,18.0,월금,1,1,0,2,5,1+3+1
1904,134.01,SciRD,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC1806-01-00,STA2102-05-00 YCI1901-01-00,ME FREE,18.0,월금,1,1,0,2,5,1+3+1
1905,133.987,WCiv,YCA1006-02-00,QRM1001-01-00 UIC1551-01-00 UIC2151-13-00 YCF1351-03-00,STA2102-05-00 ECO1101-06-00,ME ECO1101,18.0,월,0,0,0,2,5,3+2+1
